Shanghai,P Change,Dow,P Change,Y,
104.39,,921.340027,,5.24,
109.13,,925.5,-0.004515133,5.24,0
114.55,0.047315583,921.72998,0.004073495,5.24,0
120.25,0.047401247,925.690002,-0.004296293,5.24,0
125.27,0.040073441,920.409973,0.005703885,5.24,0
125.28,7.98212E-05,920.369995,4.3435E-05,5.24,0
126.45,0.009252669,920.609985,-0.000260754,5.24,0
127.61,0.009090197,914.890015,0.006213239,5.24,0
128.84,0.009546725,907.070007,0.008547484,5.24,0
130.14,0.009989242,905.599976,0.001620637,5.24,0
131.44,0.009890444,891.429993,0.015647066,5.24,0
132.06,0.004694836,890.73999,0.000774041,5.24,0
132.68,0.004672897,880.820007,0.011136789,5.24,0
133.34,0.004949753,889.22998,-0.009547891,5.24,0
133.97,0.004702545,889.099976,0.000146198,5.24,0
134.6,0.004680535,882.070007,0.007906837,5.24,0
134.67,0.000519789,883.900024,-0.002074685,5.24,0
134.74,0.000519519,890.530029,-0.007500854,5.24,0
134.24,-0.003724672,932.859985,-0.04753344,5.24,0
134.25,7.44879E-05,944.880005,-0.012885128,5.24,0
134.24,-7.44934E-05,939.210022,0.006000744,5.24,0
134.24,0,931.320007,0.008400693,5.24,0
133.72,-0.003888723,937.140015,-0.006249203,5.24,0
133.17,-0.004130059,954.210022,-0.018215002,5.24,0
132.61,-0.004222909,957.820007,-0.003783218,5.24,0
132.05,-0.004240818,955.179993,0.002756274,5.24,0
131.46,-0.004488057,955.659973,-0.000502502,5.24,0
130.95,-0.003894616,975.52002,-0.020781499,5.24,0
130.44,-0.003909844,981.47998,-0.006109521,5.24,0
129.97,-0.003616219,977.780029,0.003769767,5.24,0
129.51,-0.003551849,991.539978,-0.014072643,5.24,0
129.05,-0.00356451,998.27002,-0.006787464,5.24,0
128.58,-0.003655312,1014.960022,-0.016718925,5.24,0
129.14,0.004336379,1010.47998,0.004414008,5.24,0
129.79,0.00500809,1014.909973,-0.004384048,5.24,0
130.38,0.004525234,1037.849976,-0.022602993,5.24,0
130.97,0.004504848,1027.900024,0.009587081,5.24,0
131.35,0.002893034,1034.869995,-0.006780787,5.24,0
131.92,0.0043208,1022.849976,0.011615004,5.24,0
132.53,0.004602731,1040.349976,-0.017109058,5.24,0
133.13,0.004506873,1040.26001,8.64767E-05,5.24,0
133.67,0.0040398,1032.180054,0.007767247,5.24,0
134.28,0.004542746,1031.890015,0.000280997,5.24,0
134.87,0.004374583,1033.140015,-0.001211369,5.24,0
134.4,-0.003497024,1034.150024,-0.000977611,5.24,0
133.93,-0.003509296,1022.080017,0.011671427,5.24,0
133.47,-0.003446467,1033.22998,-0.01090909,5.24,0
133.01,-0.003458387,1031.359985,0.001809854,5.24,0
132.53,-0.003621821,1042.52002,-0.010820698,5.24,0
131.99,-0.004091219,1040.060059,0.00235963,5.24,0
131.46,-0.004031645,1059.300049,-0.018498922,5.24,0
130.94,-0.003971285,1053.77002,0.005220456,5.24,0
130.41,-0.004064106,1048.719971,0.004792364,5.24,0
129.89,-0.004003387,1042.130005,0.006283819,5.24,0
129.31,-0.004485345,1038.380005,0.003598399,5.24,0
128.77,-0.004193523,1034,0.004218114,5.24,0
126.15,-0.020768926,1040.5,-0.006286267,5.24,0
125.63,-0.004139139,1037.709961,0.002681441,5.24,0
125.17,-0.003675002,1035.109985,0.002505494,5.24,0
124.71,-0.003688557,1031.26001,0.003719387,5.24,0
124.22,-0.003944614,1014.619995,0.016135615,5.24,0
123.66,-0.004528546,1016.880005,-0.002227445,5.24,0
123.12,-0.004385965,1012.940002,0.0038746,5.24,0
122.62,-0.004077638,1012.460022,0.000473848,5.24,0
122.12,-0.004094333,1015.679993,-0.003180344,5.24,0
121.62,-0.004111166,1034.050049,-0.01808646,5.24,0
121.12,-0.004128137,1037.51001,-0.003346029,5.24,0
120.61,-0.004228505,1034.969971,0.002448207,5.24,0
120.19,-0.003494467,1023.950012,0.010647612,5.24,0
120.73,0.004472791,1042.319946,-0.017940264,5.24,0
121.21,0.003960069,1038.619995,0.003549727,5.24,0
121.71,0.004108126,1039.530029,-0.000876195,5.29,0.009451796
121.72,8.21558E-05,1031.550049,0.007676527,5.29,0
121.54,-0.001480994,1038.859985,-0.007086361,5.29,0
121.09,-0.003716244,1025.540039,0.012821695,5.28,-0.001893939
120.62,-0.003896535,1026.839966,-0.001267554,5.28,0
120.16,-0.003828229,1036.599976,-0.009504899,5.28,0
119.64,-0.004346372,1042.369995,-0.005566293,5.28,0
119.21,-0.00360708,1043.719971,-0.001295103,5.29,0.001890359
118.77,-0.003704639,1061.27002,-0.016814902,5.3,0.001886792
118.34,-0.003633598,1070.030029,-0.00825427,5.31,0.001883239
117.9,-0.003731976,1069.589966,0.000411262,5.3,-0.001886792
117.45,-0.003831418,1058.630005,0.010246881,5.3,0
117.08,-0.003160232,1044.390015,0.013451338,5.3,0
116.63,-0.003858355,1045.310059,-0.000880939,5.3,0
116.19,-0.003786901,1053.47998,-0.007815787,5.3,0
115.79,-0.00345453,1046.939941,0.006208033,5.3,0
115.36,-0.003727462,1044.48999,0.002340107,5.3,0
115.56,0.001730703,1031.73999,0.012206914,5.3,0
114.75,-0.007058824,1033.52002,-0.00172527,5.32,0.003759398
113.94,-0.007109005,1049.150024,-0.015123078,5.32,0
113.16,-0.006892895,1051.800049,-0.002525878,5.32,0
112.41,-0.006672004,1052.420044,-0.000589461,5.33,0.001876173
111.61,-0.007167817,1055.160034,-0.002603514,5.33,0
110.82,-0.007128677,1049.290039,0.005563132,5.33,0
110.03,-0.00717986,1054.199951,-0.004679271,5.33,0
109.29,-0.006770976,1069.160034,-0.014190935,5.32,-0.001879699
108.53,-0.007002672,1052.160034,0.015900332,5.32,0
107.84,-0.006398368,1051.880005,0.000266147,5.32,0
107.19,-0.006063999,1037.150024,0.01400348,5.33,0.001876173
106.57,-0.005817772,1028.329956,0.008504139,5.33,0
105.77,-0.007563581,1037.150024,-0.00857708,5.33,0
106.75,0.009180328,1034.420044,0.002632194,5.34,0.001872659
107.82,0.009923947,1031.560059,0.00276482,5.34,0
108.81,0.009098428,1034.650024,-0.002995429,5.34,0
108.25,-0.00517321,1038.01001,-0.003247461,5.34,0
109.08,0.007609094,1037.099976,0.00087671,5.35,0.001869159
110.08,0.009084302,1042.469971,-0.005177895,5.35,0
110.66,0.00524128,1056.790039,-0.013736672,5.35,0
111.68,0.009133238,1061.199951,-0.004172931,5.36,0.001865672
112.75,0.009490022,1074.569946,-0.01259894,5.36,0
113.82,0.009400808,1085.76001,-0.010413528,5.36,0
114.83,0.008795611,1090.170044,-0.004061702,5.36,0
115.97,0.009830128,1091.26001,-0.000999813,5.37,0.001862197
117.12,0.009818989,1084.48999,0.006203856,5.37,0
118.17,0.008885504,1080.439941,0.003734519,5.37,0
119.35,0.009886887,1073.209961,0.0066917,5.37,0
120.47,0.00929692,1071.660034,0.001444197,5.37,0
121.67,0.009862743,1075.160034,-0.003265961,5.37,0
122.89,0.009927578,1064.47998,0.009933455,5.37,0
124.11,0.00982999,1067.660034,-0.002987425,5.37,0
125.34,0.009813308,1080.569946,-0.012091782,5.37,0
124.53,-0.006504457,1075.849976,0.004368037,5.37,0
125.77,0.009859267,1071.569946,0.003978278,5.37,0
127.03,0.009918917,1053.52002,0.016844375,5.37,0
128.29,0.009821498,1050.75,0.0026293,5.37,0
129.57,0.00987883,1053.160034,-0.002293632,5.37,0
130.86,0.009857863,1034.469971,0.01774665,5.37,0
132.17,0.009911478,1029.420044,0.004881656,5.38,0.001858736
133.49,0.009888381,1031.150024,-0.001680538,5.38,0
134.83,0.009938441,1037.599976,-0.006255105,5.38,0
136.19,0.009986049,1030.420044,0.00691975,5.38,0
137.56,0.00995929,1048.930054,-0.017963558,5.37,-0.001862197
136.85,-0.005188162,1052.699951,-0.00359404,5.37,0
135.96,-0.006546043,1045.650024,0.006696996,5.37,0
135.27,-0.005100909,1047.560059,-0.001826648,5.37,0
136.63,0.00995389,1058.02002,-0.00998507,5.37,0
135.96,-0.00492792,1052.930054,0.004810841,5.37,0
135.28,-0.005026611,1050.75,0.002070464,5.37,0
134.64,-0.004753417,1057.199951,-0.006138426,5.37,0
133.99,-0.004851108,1061.02002,-0.003613384,5.37,0
133.38,-0.004573399,1063.339966,-0.002186524,5.36,-0.001865672
132.8,-0.00436747,1061.25,0.001965473,5.36,0
133.14,0.002553703,1058.290039,0.002789127,5.36,0
134.47,0.009890682,1072.709961,-0.013625681,5.36,0
135.81,0.009866726,1072.209961,0.000466109,5.36,0
137.17,0.009914704,1070.430054,0.001660036,5.36,0
136.7,-0.003438186,1061.569946,0.008277148,5.36,0
138.07,0.009922503,1056.02002,0.005228036,5.36,0
139.39,0.009469833,1063.569946,-0.007149416,5.36,0
140.68,0.009169747,1062.300049,0.001193995,5.36,0
140.19,-0.003495256,1067.339966,-0.004744344,5.36,0
140.66,0.003341391,1074.75,-0.006942525,5.36,0
141.52,0.00607688,1075.800049,-0.000977017,5.36,0
142.39,0.00610998,1075.47998,0.000297517,5.36,0
143.8,0.009805285,1073.439941,0.001896864,5.36,0
145.24,0.009914624,1068.160034,0.004918679,5.36,0
146.68,0.009817289,1079.329956,-0.010457162,5.36,0
148.15,0.009922376,1079.329956,0,5.36,0
149.62,0.00982489,1075.430054,0.003613262,5.37,0.001862197
151.12,0.009925887,1069.469971,0.005542046,5.38,0.001858736
152.61,0.009763449,1070.339966,-0.000813482,5.39,0.001855288
154.1,0.009669046,1071.839966,-0.001401424,5.39,0
155.54,0.009258069,1067.380005,0.004161033,5.39,0
157.07,0.00974088,1066.290039,0.00102116,5.39,0
158.63,0.009834205,1057.069946,0.00864689,5.39,0
160.21,0.009862056,1029.719971,0.025873382,5.39,0
161.6,0.008601485,1032.810059,-0.003000901,5.39,0
163.21,0.009864592,1065.069946,-0.031235063,5.39,0
164.84,0.009888377,1067.160034,-0.001962395,5.39,0
166.49,0.009910505,1080.560059,-0.012556716,5.39,0
168.16,0.009931018,1079.790039,0.000712612,5.39,0
169.81,0.009716742,1074.75,0.00466761,5.39,0
171.51,0.009911958,1084.699951,-0.009257921,5.39,0
173.19,0.009700329,1083.52002,0.001087795,5.39,0
174.92,0.009890236,1082.060059,0.001347424,5.38,-0.001858736
176.66,0.009849428,1071.969971,0.009324887,5.38,0
178.43,0.009919857,1068.48999,0.003246342,5.38,0
180.22,0.009932305,1066.109985,0.002227447,5.38,0
181.97,0.00961697,1064.430054,0.001575758,5.38,0
183.69,0.009363602,1063.300049,0.001061606,5.39,0.001855288
185.51,0.009810792,1055.119995,0.007693082,5.39,0
187.36,0.009874039,1060.02002,-0.004644045,5.39,0
189.24,0.009934475,1066.660034,-0.006264046,5.39,0
188.33,-0.004831944,1061.390015,0.004940674,5.39,0
187.22,-0.005928854,1068.160034,-0.006378446,5.39,0
186.22,-0.005369992,1066.160034,0.001872379,5.39,0
187.79,0.008360403,1067.02002,-0.00080662,5.39,0
189.66,0.009859749,1069.969971,-0.002764663,5.39,0
188.65,-0.00535383,1070.609985,-0.000598161,5.39,0
187.63,-0.005436231,1067.839966,0.002587328,5.39,0
186.88,-0.004013271,1073.199951,-0.005019465,5.39,0
185.92,-0.005163511,1071.560059,0.00152804,5.39,0
185,-0.004972973,1072.339966,-0.000727824,5.39,0
184.08,-0.004997827,1069.660034,0.002499144,5.39,0
183.19,-0.004858344,1074.930054,-0.004926818,5.39,0
182.33,-0.004716722,1075.880005,-0.000883733,5.39,0
181.82,-0.002804972,1076.699951,-0.000762117,5.39,0
180.92,-0.004974574,1069.819946,0.0063899,5.39,0
182.48,0.008548882,1061.969971,0.00733766,5.39,0
184.29,0.009821477,1055.689941,0.005913566,5.39,0
186,0.009193548,1062.709961,-0.006649699,5.39,0
187.49,0.007947091,1056.800049,0.005561171,5.39,0
189.12,0.008618866,1068.47998,-0.011052167,5.39,0
191.01,0.00989477,1073.189941,-0.004408095,5.38,-0.001858736
192.85,0.009541094,1087.869995,-0.013678896,5.39,0.001855288
194.67,0.009349155,1095.949951,-0.007427318,5.39,0
196.61,0.00986725,1108.150024,-0.011131962,5.39,0
198.57,0.009870575,1106.619995,0.001380706,5.39,0
200.51,0.009675328,1112.069946,-0.004924862,5.4,0.001851852
202.51,0.009876056,1106.069946,0.005395344,5.4,0
204.53,0.009876302,1101.449951,0.004176947,5.4,0
206.53,0.009683823,1101.030029,0.000381245,5.4,0
208.25,0.008259304,1089.400024,0.010562841,5.4,0
210.07,0.008663779,1085.699951,0.003396432,5.4,0
211.86,0.008448976,1100.02002,-0.013189711,5.4,0
213.98,0.009907468,1105.880005,-0.005327162,5.4,0
215.78,0.00834183,1111.01001,-0.004638844,5.4,0
216.43,0.003003281,1110.219971,0.0007111,5.4,0
218.6,0.009926807,1106.780029,0.003098433,5.4,0
220.72,0.009604929,1104.27002,0.002267848,5.41,0.001848429
222.77,0.009202316,1099.329956,0.004473601,5.41,0
224.65,0.008368573,1101.400024,-0.001883027,5.41,0
226.88,0.009828984,1109.47998,-0.007336078,5.41,0
228.93,0.008954702,1103.160034,0.005696314,5.41,0
231.22,0.009903988,1102.969971,0.00017229,5.41,0
233.55,0.00997645,1108.51001,-0.005022838,5.41,0
235.8,0.009541985,1110.589966,-0.001876353,5.41,0
236.67,0.003676005,1111.890015,-0.001170593,5.42,0.001845018
237.45,0.003284902,1069.959961,0.037710613,5.42,0
238.25,0.003357817,1076.699951,-0.006299292,5.42,0
240.62,0.009849555,1059.569946,0.01590973,5.43,0.001841621
242.24,0.006687583,1060.030029,-0.000434217,5.43,0
244.5,0.009243354,1064.140015,-0.003877235,5.43,0
246.31,0.007348463,1051.209961,0.012150707,5.43,0
248.53,0.008932523,1049.689941,0.001445972,5.43,0
250.85,0.009248555,1055.180054,-0.005230224,5.43,0
252.97,0.00838044,1050.660034,0.004283648,5.43,0
255.45,0.009708358,1048.900024,0.001675147,5.43,0
257.35,0.007382942,1066.079956,-0.016378999,5.43,0
259.6,0.00866718,1070.050049,-0.003724011,5.45,0.003669725
262.19,0.009878333,1064.689941,0.005009212,5.45,0
264.81,0.009893886,1055.5,0.008631566,5.45,0
265.77,0.003612146,1055.410034,8.52354E-05,5.46,0.001831502
266.66,0.003337583,1048.579956,0.006471492,5.46,0
269.35,0.009987006,1043.079956,0.005245189,5.45,-0.001834862
270.27,0.003404003,1040.27002,0.002693884,5.45,0
272.91,0.009673519,1056.060059,-0.015178789,5.45,0
273.71,0.002922802,1063.630005,-0.007168102,5.46,0.001831502
274.41,0.002550927,1063.079956,0.000517143,5.46,0
277,0.009350181,1055.5,0.007130184,5.46,0
277.85,0.003059205,1057.349976,-0.001752701,5.46,0
278.68,0.002978326,1056.199951,0.001087648,5.47,0.001828154
279.51,0.002969482,1064.599976,-0.007953063,5.47,0
280.17,0.002355713,1097.890015,-0.031269998,5.46,-0.001831502
282.83,0.009404943,1110.130005,-0.011148649,5.46,0
285.65,0.009872221,1124.310059,-0.012773327,5.46,0
286.22,0.001991475,1128.089966,-0.003361979,5.47,0.001828154
287.15,0.003238725,1150.77002,-0.020104827,5.47,0
288.03,0.003055237,1156.819946,-0.005257285,5.47,0
290.85,0.009695719,1152.380005,0.003838057,5.47,0
291.71,0.002948133,1161.339966,-0.007775179,5.47,0
292.75,0.003552519,1162.819946,-0.001274373,5.47,0
293.75,0.003404255,1167.25,-0.003809751,5.47,0
296.52,0.009341697,1166.280029,0.000830988,5.47,0
297.68,0.003896802,1162.219971,0.003481203,5.47,0
298.77,0.003648291,1154.180054,0.006917724,5.47,0
299.66,0.002970033,1152.47998,0.001472971,5.47,0
300.62,0.0031934,1172.050049,-0.016980832,5.46,-0.001831502
301.83,0.004008879,1184.569946,-0.01068205,5.47,0.001828154
303.06,0.004058602,1184.709961,-0.000118199,5.48,0.001824818
305.74,0.008765618,1181.890015,0.002380284,5.48,0
306.63,0.002902521,1177.359985,0.003832869,5.48,0
306.85,0.000716963,1165.959961,0.0096827,5.48,0
307.38,0.00172425,1178.839966,-0.011046696,5.48,0
307.39,3.2532E-05,1166.050049,0.010849579,5.48,0
307.87,0.0015591,1162.170044,0.003327477,5.48,0
307.95,0.000259782,1161.849976,0.000275405,5.48,0
308.53,0.001879882,1168.410034,-0.005646218,5.48,0
309.05,0.001682576,1155.75,0.010835266,5.48,0
311.61,0.008215397,1163.969971,-0.00711224,5.48,0
311.84,0.000737558,1155.52002,0.007259595,5.48,0
312.42,0.001856475,1158.660034,-0.002717403,5.48,0
312.73,0.00099127,1168.180054,-0.008216405,5.48,0
313.24,0.001628145,1167.849976,0.000282557,5.49,0.001821494
314.18,0.002991915,1169.650024,-0.001541335,5.49,0
314.72,0.001715811,1160.050049,0.008207562,5.49,0
315.56,0.002661934,1166.369995,-0.005447994,5.49,0
316.43,0.002749423,1169.01001,-0.002263446,5.49,0
316.44,3.16016E-05,1178.930054,-0.00848585,5.49,0
317.04,0.001892506,1166.560059,0.010492561,5.49,0
