Shanghai,DOW,Y
,,5.24
104.39,921.340027,5.24
109.13,925.5,5.24
114.55,921.72998,5.24
120.25,925.690002,5.24
125.27,920.409973,5.24
125.28,920.369995,5.24
126.45,920.609985,5.24
127.61,914.890015,5.24
128.84,907.070007,5.24
130.14,905.599976,5.24
131.44,891.429993,5.24
132.06,890.73999,5.24
132.68,880.820007,5.24
133.34,889.22998,5.24
133.97,889.099976,5.24
134.6,882.070007,5.24
134.67,883.900024,5.24
134.74,890.530029,5.24
134.24,932.859985,5.24
134.25,944.880005,5.24
134.24,939.210022,5.24
134.24,931.320007,5.24
133.72,937.140015,5.24
133.17,954.210022,5.24
132.61,957.820007,5.24
132.05,955.179993,5.24
131.46,955.659973,5.24
130.95,975.52002,5.24
130.44,981.47998,5.24
129.97,977.780029,5.24
129.51,991.539978,5.24
129.05,998.27002,5.24
128.58,1014.960022,5.24
129.14,1010.47998,5.24
129.79,1014.909973,5.24
130.38,1037.849976,5.24
130.97,1027.900024,5.24
131.35,1034.869995,5.24
131.92,1022.849976,5.24
132.53,1040.349976,5.24
133.13,1040.26001,5.24
133.67,1032.180054,5.24
134.28,1031.890015,5.24
134.87,1033.140015,5.24
134.4,1034.150024,5.24
133.93,1022.080017,5.24
133.47,1033.22998,5.24
133.01,1031.359985,5.24
132.53,1042.52002,5.24
131.99,1040.060059,5.24
131.46,1059.300049,5.24
130.94,1053.77002,5.24
130.41,1048.719971,5.24
129.89,1042.130005,5.24
129.31,1038.380005,5.24
128.77,1034,5.24
126.15,1040.5,5.24
125.63,1037.709961,5.24
125.17,1035.109985,5.24
124.71,1031.26001,5.24
124.22,1014.619995,5.24
123.66,1016.880005,5.24
123.12,1012.940002,5.24
122.62,1012.460022,5.24
122.12,1015.679993,5.24
121.62,1034.050049,5.24
121.12,1037.51001,5.24
120.61,1034.969971,5.24
120.19,1023.950012,5.24
120.73,1042.319946,5.24
121.21,1038.619995,5.29
121.71,1039.530029,5.29
121.72,1031.550049,5.29
121.54,1038.859985,5.28
121.09,1025.540039,5.28
120.62,1026.839966,5.28
120.16,1036.599976,5.28
119.64,1042.369995,5.29
119.21,1043.719971,5.3
118.77,1061.27002,5.31
118.34,1070.030029,5.3
117.9,1069.589966,5.3
117.45,1058.630005,5.3
117.08,1044.390015,5.3
116.63,1045.310059,5.3
116.19,1053.47998,5.3
115.79,1046.939941,5.3
115.36,1044.48999,5.3
115.56,1031.73999,5.32
114.75,1033.52002,5.32
113.94,1049.150024,5.32
113.16,1051.800049,5.33
112.41,1052.420044,5.33
111.61,1055.160034,5.33
110.82,1049.290039,5.33
110.03,1054.199951,5.32
109.29,1069.160034,5.32
108.53,1052.160034,5.32
107.84,1051.880005,5.33
107.19,1037.150024,5.33
106.57,1028.329956,5.33
105.77,1037.150024,5.34
106.75,1034.420044,5.34
107.82,1031.560059,5.34
108.81,1034.650024,5.34
108.25,1038.01001,5.35
109.08,1037.099976,5.35
110.08,1042.469971,5.35
110.66,1056.790039,5.36
111.68,1061.199951,5.36
112.75,1074.569946,5.36
113.82,1085.76001,5.36
114.83,1090.170044,5.37
115.97,1091.26001,5.37
117.12,1084.48999,5.37
118.17,1080.439941,5.37
119.35,1073.209961,5.37
120.47,1071.660034,5.37
121.67,1075.160034,5.37
122.89,1064.47998,5.37
124.11,1067.660034,5.37
125.34,1080.569946,5.37
124.53,1075.849976,5.37
125.77,1071.569946,5.37
127.03,1053.52002,5.37
128.29,1050.75,5.37
129.57,1053.160034,5.37
130.86,1034.469971,5.38
132.17,1029.420044,5.38
133.49,1031.150024,5.38
134.83,1037.599976,5.38
136.19,1030.420044,5.37
137.56,1048.930054,5.37
136.85,1052.699951,5.37
135.96,1045.650024,5.37
135.27,1047.560059,5.37
136.63,1058.02002,5.37
135.96,1052.930054,5.37
135.28,1050.75,5.37
134.64,1057.199951,5.37
133.99,1061.02002,5.36
133.38,1063.339966,5.36
132.8,1061.25,5.36
133.14,1058.290039,5.36
134.47,1072.709961,5.36
135.81,1072.209961,5.36
137.17,1070.430054,5.36
136.7,1061.569946,5.36
138.07,1056.02002,5.36
139.39,1063.569946,5.36
140.68,1062.300049,5.36
140.19,1067.339966,5.36
140.66,1074.75,5.36
141.52,1075.800049,5.36
142.39,1075.47998,5.36
143.8,1073.439941,5.36
145.24,1068.160034,5.36
146.68,1079.329956,5.36
148.15,1079.329956,5.37
149.62,1075.430054,5.38
151.12,1069.469971,5.39
152.61,1070.339966,5.39
154.1,1071.839966,5.39
155.54,1067.380005,5.39
157.07,1066.290039,5.39
158.63,1057.069946,5.39
160.21,1029.719971,5.39
161.6,1032.810059,5.39
163.21,1065.069946,5.39
164.84,1067.160034,5.39
166.49,1080.560059,5.39
168.16,1079.790039,5.39
169.81,1074.75,5.39
171.51,1084.699951,5.39
173.19,1083.52002,5.38
174.92,1082.060059,5.38
176.66,1071.969971,5.38
178.43,1068.48999,5.38
180.22,1066.109985,5.38
