Shanghai,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,Shanghai 2,DOW,DOW,DOW,DOW,DOW,DOW,DOW,Y
,,,,,,,,,,,,,,5.24
104.39,,,,,,,921.340027,,,,,,,5.24
109.13,104.39,,,,,,925.5,921.340027,,,,,,5.24
114.55,109.13,104.39,,,,,921.72998,925.5,921.340027,,,,,5.24
120.25,114.55,109.13,104.39,,,,925.690002,921.72998,925.5,921.340027,,,,5.24
125.27,120.25,114.55,109.13,104.39,,,920.409973,925.690002,921.72998,925.5,921.340027,,,5.24
125.28,125.27,120.25,114.55,109.13,104.39,,920.369995,920.409973,925.690002,921.72998,925.5,921.340027,,5.24
126.45,125.28,125.27,120.25,114.55,109.13,104.39,920.609985,920.369995,920.409973,925.690002,921.72998,925.5,921.340027,5.24
127.61,126.45,125.28,125.27,120.25,114.55,109.13,914.890015,920.609985,920.369995,920.409973,925.690002,921.72998,925.5,5.24
128.84,127.61,126.45,125.28,125.27,120.25,114.55,907.070007,914.890015,920.609985,920.369995,920.409973,925.690002,921.72998,5.24
130.14,128.84,127.61,126.45,125.28,125.27,120.25,905.599976,907.070007,914.890015,920.609985,920.369995,920.409973,925.690002,5.24
131.44,130.14,128.84,127.61,126.45,125.28,125.27,891.429993,905.599976,907.070007,914.890015,920.609985,920.369995,920.409973,5.24
132.06,131.44,130.14,128.84,127.61,126.45,125.28,890.73999,891.429993,905.599976,907.070007,914.890015,920.609985,920.369995,5.24
132.68,132.06,131.44,130.14,128.84,127.61,126.45,880.820007,890.73999,891.429993,905.599976,907.070007,914.890015,920.609985,5.24
133.34,132.68,132.06,131.44,130.14,128.84,127.61,889.22998,880.820007,890.73999,891.429993,905.599976,907.070007,914.890015,5.24
133.97,133.34,132.68,132.06,131.44,130.14,128.84,889.099976,889.22998,880.820007,890.73999,891.429993,905.599976,907.070007,5.24
134.6,133.97,133.34,132.68,132.06,131.44,130.14,882.070007,889.099976,889.22998,880.820007,890.73999,891.429993,905.599976,5.24
134.67,134.6,133.97,133.34,132.68,132.06,131.44,883.900024,882.070007,889.099976,889.22998,880.820007,890.73999,891.429993,5.24
134.74,134.67,134.6,133.97,133.34,132.68,132.06,890.530029,883.900024,882.070007,889.099976,889.22998,880.820007,890.73999,5.24
134.24,134.74,134.67,134.6,133.97,133.34,132.68,932.859985,890.530029,883.900024,882.070007,889.099976,889.22998,880.820007,5.24
134.25,134.24,134.74,134.67,134.6,133.97,133.34,944.880005,932.859985,890.530029,883.900024,882.070007,889.099976,889.22998,5.24
134.24,134.25,134.24,134.74,134.67,134.6,133.97,939.210022,944.880005,932.859985,890.530029,883.900024,882.070007,889.099976,5.24
134.24,134.24,134.25,134.24,134.74,134.67,134.6,931.320007,939.210022,944.880005,932.859985,890.530029,883.900024,882.070007,5.24
133.72,134.24,134.24,134.25,134.24,134.74,134.67,937.140015,931.320007,939.210022,944.880005,932.859985,890.530029,883.900024,5.24
133.17,133.72,134.24,134.24,134.25,134.24,134.74,954.210022,937.140015,931.320007,939.210022,944.880005,932.859985,890.530029,5.24
132.61,133.17,133.72,134.24,134.24,134.25,134.24,957.820007,954.210022,937.140015,931.320007,939.210022,944.880005,932.859985,5.24
132.05,132.61,133.17,133.72,134.24,134.24,134.25,955.179993,957.820007,954.210022,937.140015,931.320007,939.210022,944.880005,5.24
131.46,132.05,132.61,133.17,133.72,134.24,134.24,955.659973,955.179993,957.820007,954.210022,937.140015,931.320007,939.210022,5.24
130.95,131.46,132.05,132.61,133.17,133.72,134.24,975.52002,955.659973,955.179993,957.820007,954.210022,937.140015,931.320007,5.24
130.44,130.95,131.46,132.05,132.61,133.17,133.72,981.47998,975.52002,955.659973,955.179993,957.820007,954.210022,937.140015,5.24
129.97,130.44,130.95,131.46,132.05,132.61,133.17,977.780029,981.47998,975.52002,955.659973,955.179993,957.820007,954.210022,5.24
129.51,129.97,130.44,130.95,131.46,132.05,132.61,991.539978,977.780029,981.47998,975.52002,955.659973,955.179993,957.820007,5.24
129.05,129.51,129.97,130.44,130.95,131.46,132.05,998.27002,991.539978,977.780029,981.47998,975.52002,955.659973,955.179993,5.24
128.58,129.05,129.51,129.97,130.44,130.95,131.46,1014.960022,998.27002,991.539978,977.780029,981.47998,975.52002,955.659973,5.24
129.14,128.58,129.05,129.51,129.97,130.44,130.95,1010.47998,1014.960022,998.27002,991.539978,977.780029,981.47998,975.52002,5.24
129.79,129.14,128.58,129.05,129.51,129.97,130.44,1014.909973,1010.47998,1014.960022,998.27002,991.539978,977.780029,981.47998,5.24
130.38,129.79,129.14,128.58,129.05,129.51,129.97,1037.849976,1014.909973,1010.47998,1014.960022,998.27002,991.539978,977.780029,5.24
130.97,130.38,129.79,129.14,128.58,129.05,129.51,1027.900024,1037.849976,1014.909973,1010.47998,1014.960022,998.27002,991.539978,5.24
